,Asian,Black,Hispanic,Mixed,Other,White,postal_code
395,4.9%,5.8%,39.1%,1.7%,1.4%,47.1%,85225
396,0.0%,0.9%,0.0%,2.5%,0.0%,96.6%,15088
397,8.1%,7.1%,18.3%,3.3%,2.2%,61.0%,89014
398,0.4%,0.0%,0.0%,0.2%,0.0%,99.4%,61859
399,0.6%,82.8%,0.7%,1.5%,0.4%,14.0%,44110
400,1.6%,5.0%,3.4%,2.9%,0.3%,86.9%,53213
401,0.0%,0.0%,4.4%,2.2%,0.0%,93.4%,73733
402,0.5%,2.9%,0.5%,0.3%,0.0%,95.7%,44045
403,0.2%,4.9%,0.9%,1.1%,1.9%,91.0%,28164
404,6.3%,7.3%,6.2%,2.7%,1.7%,75.9%,28270
405,3.9%,13.6%,38.0%,3.6%,1.2%,39.6%,89108
406,3.6%,12.4%,5.6%,0.7%,0.2%,77.5%,28211
407,4.6%,3.0%,1.6%,1.3%,0.4%,89.2%,15143
408,0.4%,0.0%,1.0%,1.8%,0.0%,96.8%,16930
409,0.7%,18.9%,1.0%,2.1%,0.4%,76.9%,15120
410,3.2%,1.7%,4.0%,0.3%,0.6%,90.2%,85258
411,0.0%,0.0%,1.4%,0.0%,0.0%,98.6%,61840
412,4.4%,6.5%,25.9%,3.2%,3.9%,56.2%,85016
413,20.7%,16.6%,5.6%,2.6%,0.3%,54.2%,61801
414,0.0%,1.6%,8.3%,0.3%,0.0%,89.9%,19362
415,1.7%,1.8%,9.2%,2.0%,0.5%,84.8%,85028
416,0.0%,45.9%,0.0%,6.7%,0.0%,47.4%,71642
417,0.0%,17.5%,4.0%,0.0%,0.0%,78.5%,71034
418,6.7%,5.3%,22.4%,4.6%,0.7%,60.3%,89145
419,0.3%,2.5%,3.4%,1.6%,0.2%,91.9%,28207
420,0.3%,6.1%,25.4%,1.5%,1.4%,65.2%,85140
421,21.5%,1.5%,15.6%,2.3%,5.3%,53.7%,91020
422,0.7%,27.4%,5.6%,0.4%,1.0%,65.0%,27377
423,1.1%,5.6%,8.9%,1.8%,0.2%,82.4%,44077
424,1.2%,24.3%,23.2%,3.3%,0.3%,47.7%,44102
425,3.2%,13.0%,35.2%,1.6%,0.6%,46.4%,85392
426,0.0%,78.2%,1.5%,0.1%,0.0%,20.2%,71254
427,0.9%,0.9%,2.4%,1.4%,0.0%,94.3%,44212
428,0.0%,0.0%,5.3%,0.4%,0.5%,93.8%,44280
429,1.7%,50.0%,1.3%,2.1%,0.2%,44.7%,44121
430,5.4%,42.6%,10.0%,1.4%,0.7%,39.9%,28269
431,0.4%,0.1%,0.6%,0.3%,0.2%,98.4%,16051
432,10.7%,0.0%,6.0%,0.2%,0.9%,82.2%,89124
433,0.1%,0.2%,1.0%,0.6%,0.0%,98.1%,53528
434,0.0%,0.0%,0.8%,0.0%,0.0%,99.2%,15637
435,1.5%,1.0%,1.4%,1.0%,0.1%,94.9%,15071
436,0.6%,1.5%,1.1%,0.5%,0.4%,95.8%,44264
437,17.8%,3.8%,7.7%,3.2%,0.7%,66.8%,89138
438,6.2%,14.4%,46.3%,2.3%,0.6%,30.1%,89169
439,12.8%,17.2%,44.7%,3.7%,1.8%,19.8%,94565
440,9.0%,1.0%,11.3%,1.6%,0.4%,76.6%,60007
441,3.5%,0.2%,6.3%,0.8%,1.3%,88.0%,85215
442,0.2%,2.4%,1.1%,0.4%,0.0%,95.9%,61816
443,2.7%,4.2%,17.4%,2.0%,1.0%,72.8%,85022
444,2.4%,1.4%,4.4%,2.4%,0.2%,89.3%,93449
445,1.2%,47.0%,1.2%,3.7%,0.4%,46.5%,15221
446,0.2%,0.2%,4.0%,3.6%,8.3%,83.8%,85935
447,1.0%,4.2%,1.8%,1.4%,0.0%,91.6%,44023
448,0.5%,27.9%,2.9%,1.8%,0.4%,66.5%,71854
449,6.4%,11.5%,18.1%,5.3%,2.8%,55.9%,89166
450,4.0%,1.7%,1.0%,2.3%,0.2%,90.8%,15228
451,19.1%,6.9%,18.6%,3.7%,2.4%,49.2%,89113
452,0.2%,1.7%,1.7%,0.3%,1.4%,94.8%,15126
453,0.3%,40.7%,1.1%,1.5%,0.1%,56.3%,15214
454,0.0%,1.5%,1.8%,1.7%,0.1%,94.9%,15223
455,4.6%,8.6%,33.8%,2.2%,3.3%,47.6%,85021
456,0.1%,0.7%,70.8%,0.0%,13.4%,15.0%,85337
457,1.0%,15.3%,23.2%,1.9%,0.5%,58.1%,44109
458,5.2%,1.4%,4.8%,1.2%,0.9%,86.5%,85255
459,0.3%,1.5%,3.2%,0.5%,0.5%,93.9%,85351
460,0.7%,0.1%,4.8%,0.3%,0.3%,93.8%,61956
461,1.5%,2.8%,3.5%,2.1%,0.3%,89.8%,44129
462,12.8%,3.7%,16.1%,2.8%,0.4%,64.2%,85286
463,5.2%,10.1%,6.6%,2.7%,0.5%,74.8%,53704
464,0.7%,0.0%,3.5%,0.3%,0.0%,95.5%,46501
465,2.5%,2.5%,16.3%,2.2%,1.9%,74.6%,85053
466,0.0%,1.1%,15.5%,2.0%,1.2%,80.1%,89040
467,0.6%,1.9%,74.8%,0.8%,1.5%,20.4%,87701
468,0.1%,3.5%,66.1%,1.6%,0.3%,28.4%,78409
469,1.9%,3.7%,1.4%,0.7%,0.1%,92.3%,15239
470,0.8%,1.9%,0.2%,1.9%,0.0%,95.2%,15045
471,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,15082
472,2.4%,3.2%,12.0%,1.6%,1.1%,79.8%,85206
473,2.2%,3.9%,2.5%,1.2%,0.4%,89.7%,63376
474,14.2%,7.9%,1.7%,2.0%,0.5%,73.5%,53717
475,1.9%,0.5%,1.1%,0.9%,0.2%,95.4%,15044
476,0.0%,20.9%,1.0%,1.5%,0.1%,76.5%,15147
477,1.1%,21.2%,12.1%,4.9%,0.3%,60.5%,61866
478,0.0%,3.7%,0.8%,4.5%,0.0%,91.1%,15030
479,4.4%,44.1%,27.9%,1.4%,0.8%,21.4%,28212
480,1.7%,2.6%,1.5%,2.4%,0.2%,91.7%,44224
481,2.6%,27.0%,2.8%,1.2%,0.0%,66.3%,28204
482,2.0%,12.7%,5.9%,1.8%,0.5%,77.1%,28625
483,0.0%,2.9%,15.2%,1.5%,0.2%,80.2%,73734
484,4.3%,9.0%,13.3%,2.5%,0.8%,70.2%,28209
485,3.5%,1.2%,3.3%,1.9%,0.2%,89.9%,85373
486,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,53792
487,4.8%,2.0%,1.3%,1.2%,0.1%,90.6%,15017
488,1.3%,3.7%,4.4%,1.5%,0.5%,88.5%,44142
489,0.0%,1.9%,0.0%,1.6%,11.6%,84.9%,49808
490,2.4%,3.4%,16.5%,1.1%,1.7%,74.8%,85209
491,14.7%,40.6%,8.0%,2.6%,0.8%,33.2%,28262
492,0.0%,0.0%,99.4%,0.0%,0.0%,0.6%,78579
493,0.1%,8.5%,90.2%,0.3%,0.1%,0.9%,90001
494,0.4%,0.3%,1.2%,0.7%,0.0%,97.4%,15225
495,1.2%,28.4%,11.9%,1.5%,0.5%,56.5%,44113
496,6.0%,1.7%,6.9%,1.6%,0.7%,83.1%,85260
497,12.8%,5.3%,0.3%,3.4%,0.9%,77.4%,15220
498,2.5%,3.4%,14.8%,2.3%,1.4%,75.5%,85306
499,13.9%,7.6%,10.0%,1.4%,5.4%,61.6%,89144
500,4.8%,7.8%,49.5%,1.2%,6.4%,30.4%,85015
501,10.3%,3.1%,12.5%,3.0%,0.9%,70.2%,85249
502,2.6%,0.9%,4.1%,0.4%,0.0%,92.0%,61953
503,12.2%,9.5%,48.8%,2.3%,1.2%,26.0%,89142
504,0.4%,0.4%,0.6%,3.0%,0.3%,95.3%,53517
505,5.5%,12.4%,1.4%,2.3%,0.5%,77.8%,15146
506,0.0%,5.0%,0.0%,0.0%,0.0%,95.0%,15051
507,2.5%,31.1%,0.0%,1.7%,0.4%,64.3%,15112
508,2.2%,63.2%,5.2%,2.9%,1.0%,25.5%,28216
509,2.8%,25.7%,14.2%,3.0%,0.4%,53.8%,28227
510,5.7%,5.2%,4.3%,1.0%,0.4%,83.3%,53718
511,1.3%,11.3%,6.0%,0.7%,0.1%,80.6%,28115
512,2.2%,74.9%,11.0%,2.7%,0.4%,8.8%,28206
513,7.5%,44.1%,33.3%,2.5%,0.3%,12.3%,28217
514,9.8%,17.2%,26.2%,2.7%,0.4%,43.7%,53713
515,1.6%,7.3%,3.6%,3.0%,0.3%,84.2%,44107
516,4.0%,7.3%,23.4%,1.1%,3.8%,60.4%,85013
517,1.9%,4.8%,8.1%,0.7%,0.9%,83.5%,29707
518,1.7%,11.6%,6.9%,2.3%,0.0%,77.4%,29715
519,1.7%,0.6%,2.6%,1.7%,0.3%,93.0%,53597
520,0.0%,73.0%,0.8%,0.3%,1.9%,24.1%,71640
521,0.0%,37.6%,5.6%,0.0%,1.7%,55.2%,70736
522,0.0%,5.1%,0.0%,0.0%,0.0%,94.9%,15363
523,1.8%,21.4%,2.9%,1.8%,0.1%,72.0%,15207
524,0.4%,0.9%,4.6%,1.3%,0.0%,92.8%,61877
525,0.9%,6.3%,14.2%,0.2%,0.2%,78.2%,85387
526,2.5%,7.5%,5.1%,1.7%,0.5%,82.6%,28056
527,1.5%,2.3%,4.3%,1.1%,0.1%,90.7%,44134
528,0.5%,14.5%,1.9%,1.6%,0.4%,81.2%,44044
529,4.6%,4.2%,3.1%,0.6%,0.9%,86.6%,44136
530,0.2%,0.0%,2.1%,1.4%,0.0%,96.3%,61873
531,0.6%,31.2%,10.4%,2.2%,0.9%,54.7%,28052
532,17.4%,4.7%,66.1%,1.5%,0.6%,9.7%,91950
533,0.0%,6.1%,0.5%,1.0%,0.0%,92.4%,15342
534,0.3%,11.7%,40.2%,3.5%,0.5%,43.8%,44055
535,5.1%,0.8%,2.4%,1.6%,0.1%,89.9%,15241
536,6.5%,2.6%,15.9%,1.9%,0.2%,72.9%,85296
537,0.4%,56.9%,1.4%,1.3%,0.5%,39.5%,44132
538,4.3%,4.4%,20.7%,2.9%,0.7%,67.0%,85304
539,0.5%,1.0%,0.6%,0.7%,0.0%,97.2%,15133
540,8.2%,9.0%,10.4%,2.8%,0.4%,69.2%,53719
541,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,15678
542,1.3%,0.0%,1.0%,0.0%,0.0%,97.7%,89004
543,2.2%,16.5%,4.9%,2.1%,0.2%,74.0%,29732
544,0.5%,2.4%,2.6%,1.2%,0.0%,93.3%,44221
545,14.2%,7.9%,7.1%,4.0%,0.7%,66.1%,61874
546,0.0%,0.9%,0.2%,2.7%,0.3%,95.8%,45612
547,0.1%,64.1%,1.8%,0.6%,1.3%,32.2%,71282
548,0.7%,3.3%,17.0%,0.8%,1.1%,77.1%,85374
549,2.7%,11.0%,5.8%,2.2%,0.8%,77.6%,28036
550,3.1%,3.0%,3.2%,0.8%,0.2%,89.8%,44070
551,0.3%,0.6%,1.6%,0.9%,0.0%,96.6%,44050
552,5.6%,6.8%,18.6%,1.7%,2.4%,64.8%,89143
553,0.7%,4.4%,1.1%,2.9%,0.8%,90.1%,15035
554,9.0%,4.5%,24.5%,2.5%,3.1%,56.3%,85281
555,4.7%,2.9%,9.6%,1.9%,1.3%,79.6%,85298
556,2.3%,9.2%,4.6%,1.8%,0.3%,81.7%,28078
557,0.0%,0.0%,12.4%,1.6%,0.0%,86.0%,73760
558,3.5%,1.6%,1.7%,1.3%,0.1%,91.8%,44133
559,5.8%,2.7%,0.9%,1.8%,0.1%,88.6%,44147
560,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,54842
561,8.2%,1.1%,12.5%,2.9%,1.0%,74.3%,85085
562,0.3%,1.8%,34.6%,1.0%,0.3%,62.0%,85354
563,1.5%,6.3%,2.8%,0.7%,1.9%,86.8%,28032
564,14.6%,8.6%,4.4%,0.8%,0.0%,71.7%,61822
565,1.2%,14.5%,0.6%,3.7%,0.6%,79.5%,15136
566,2.7%,6.9%,3.0%,2.6%,0.2%,84.6%,44067
567,3.9%,4.0%,1.9%,1.7%,0.2%,88.2%,15215
568,1.0%,52.5%,1.4%,2.0%,0.1%,43.1%,44123
569,0.3%,0.1%,1.3%,1.4%,0.4%,96.4%,44028
570,0.3%,11.6%,2.3%,1.3%,0.2%,84.4%,28034
571,0.8%,2.5%,1.0%,1.0%,0.0%,94.7%,44286
572,10.2%,5.5%,8.5%,2.1%,0.4%,73.3%,89135
573,0.0%,0.0%,3.9%,0.0%,0.0%,96.1%,15038
574,2.7%,7.3%,33.7%,1.8%,1.1%,53.4%,85338
575,0.9%,2.7%,1.7%,1.1%,0.3%,93.3%,44256
576,3.2%,3.7%,2.9%,3.6%,0.2%,86.4%,53590
577,2.3%,25.0%,3.8%,1.6%,0.0%,67.4%,28202
578,0.7%,19.6%,0.5%,0.2%,0.2%,78.8%,71409
579,0.2%,36.9%,2.0%,0.6%,1.6%,58.7%,71065
580,5.0%,19.1%,0.5%,1.9%,1.0%,72.5%,44087
581,3.7%,3.8%,8.8%,0.4%,0.1%,83.3%,77384
582,0.8%,19.4%,2.4%,3.4%,0.1%,73.8%,27863
583,0.0%,0.0%,0.6%,0.8%,0.0%,98.6%,12958
584,3.1%,2.4%,2.9%,1.1%,0.2%,90.3%,53593
585,2.5%,2.0%,3.4%,1.2%,0.2%,90.8%,44011
586,0.6%,0.7%,1.5%,1.8%,0.1%,95.3%,44024
587,1.3%,2.3%,3.3%,0.9%,0.0%,92.1%,44138
588,0.4%,0.0%,2.0%,0.8%,0.1%,96.6%,44021
589,6.4%,32.4%,1.4%,1.8%,0.5%,57.5%,44122
590,0.2%,0.2%,7.1%,1.0%,1.8%,89.7%,85541
591,0.0%,79.9%,0.0%,0.2%,0.0%,19.9%,29031
592,0.2%,9.8%,1.1%,2.2%,0.1%,86.5%,15122
593,1.9%,49.7%,18.4%,3.1%,0.5%,26.4%,28215
594,0.7%,0.6%,0.6%,0.7%,0.1%,97.4%,15116
595,3.8%,0.7%,2.4%,0.6%,0.3%,92.2%,53527
596,0.6%,18.5%,9.0%,1.1%,0.1%,70.8%,28081
597,22.2%,7.6%,18.5%,3.4%,0.8%,47.5%,89148
598,3.4%,2.7%,11.9%,2.1%,0.9%,79.0%,85382
599,3.5%,15.9%,8.8%,1.8%,0.6%,69.4%,28027
600,1.7%,18.8%,63.6%,0.7%,2.8%,12.4%,85040
601,3.6%,0.0%,1.9%,0.0%,0.0%,94.5%,15055
602,8.0%,3.4%,33.4%,2.0%,2.3%,50.9%,93612
603,0.6%,40.8%,2.9%,0.8%,0.0%,54.9%,71229
604,0.5%,27.7%,3.4%,4.3%,0.3%,63.7%,15132
605,1.1%,5.8%,0.8%,1.3%,0.0%,90.9%,28107
606,6.8%,11.4%,32.2%,2.2%,1.6%,45.8%,85305
607,1.5%,1.6%,0.9%,1.0%,0.3%,94.8%,15102
608,0.9%,0.2%,0.9%,2.6%,0.4%,95.0%,61853
609,30.7%,9.3%,15.1%,5.2%,2.9%,36.8%,89139
610,8.3%,4.4%,6.0%,1.6%,1.1%,78.6%,89134
611,2.5%,30.4%,1.1%,3.5%,0.2%,62.3%,15210
612,3.5%,9.2%,5.5%,1.5%,0.6%,79.8%,28226
613,7.1%,2.5%,5.2%,1.4%,0.6%,83.2%,19355
614,1.2%,0.8%,2.5%,0.8%,0.1%,94.7%,85375
615,3.2%,1.1%,2.0%,1.3%,0.3%,92.2%,85262
616,5.7%,6.9%,42.4%,2.4%,0.3%,42.2%,92585
617,3.5%,1.2%,2.4%,1.3%,0.0%,91.8%,15142
618,6.7%,7.7%,52.2%,2.2%,0.6%,30.5%,89102
619,0.4%,0.0%,1.4%,0.6%,0.2%,97.4%,53521
620,1.9%,11.6%,6.0%,1.2%,0.2%,79.0%,28079
621,3.6%,7.5%,29.5%,2.4%,2.4%,54.6%,85014
622,8.5%,8.7%,11.5%,2.3%,0.4%,68.5%,32258
623,0.9%,2.3%,0.7%,0.9%,0.1%,95.1%,15229
624,8.4%,8.5%,4.2%,1.7%,0.7%,76.5%,08054
625,11.8%,9.5%,33.1%,4.6%,1.0%,40.0%,89122
626,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,95224
627,11.6%,1.6%,16.3%,4.7%,0.7%,65.2%,90720
628,0.3%,1.4%,0.6%,0.0%,0.1%,97.6%,22827
629,1.3%,1.6%,1.8%,0.7%,0.4%,94.3%,44095
630,4.2%,10.8%,21.3%,1.5%,2.1%,60.1%,85138
631,0.0%,2.4%,73.9%,2.1%,1.3%,20.3%,85347
632,11.9%,8.7%,27.3%,4.1%,0.3%,47.7%,89146
633,0.5%,9.6%,2.3%,1.4%,0.3%,85.8%,15211
634,2.7%,0.0%,14.4%,0.0%,0.0%,82.8%,85328
635,4.1%,14.3%,6.3%,0.9%,0.4%,74.0%,28105
636,0.4%,0.3%,1.1%,0.7%,0.0%,97.4%,44062
637,1.5%,1.9%,44.3%,1.3%,2.2%,48.7%,85204
638,1.9%,0.0%,43.7%,0.0%,0.0%,54.4%,88113
639,0.2%,1.1%,1.1%,1.3%,0.1%,96.2%,53572
640,3.1%,5.2%,1.1%,2.4%,0.1%,88.1%,44202
641,2.1%,24.9%,25.2%,5.9%,1.3%,40.5%,89018
642,0.0%,0.0%,0.4%,0.0%,0.0%,99.6%,15636
643,2.5%,20.0%,9.6%,3.0%,0.5%,64.3%,44135
644,0.7%,8.1%,1.0%,3.0%,0.3%,86.9%,15068
645,0.7%,5.9%,77.1%,1.0%,0.9%,14.6%,85033
646,0.4%,94.9%,0.5%,0.8%,0.2%,3.2%,44128
647,0.0%,1.0%,0.0%,0.8%,0.0%,98.2%,44065
648,2.5%,3.5%,1.7%,0.9%,0.0%,91.3%,44094
649,0.0%,61.6%,0.7%,1.0%,0.0%,36.8%,71334
650,0.7%,57.5%,1.2%,1.0%,0.0%,39.7%,29204
651,1.3%,2.2%,1.1%,1.7%,0.2%,93.4%,15317
652,0.3%,71.5%,1.8%,2.4%,0.1%,23.9%,44105
653,1.7%,23.0%,8.6%,2.7%,0.4%,63.6%,28054
654,2.1%,7.9%,66.0%,0.7%,1.7%,21.6%,85323
655,0.1%,42.0%,1.9%,1.7%,0.3%,54.0%,71701
656,0.4%,2.0%,1.3%,2.2%,0.0%,94.1%,41076
657,5.1%,7.0%,19.7%,3.0%,1.3%,63.9%,85395
658,3.2%,8.7%,16.2%,2.5%,0.9%,68.4%,89015
659,2.7%,0.0%,0.5%,0.0%,0.0%,96.8%,61919
660,5.5%,44.6%,1.7%,2.5%,0.4%,45.2%,15206
661,3.3%,12.0%,0.9%,1.2%,0.0%,82.7%,44056
662,4.0%,1.1%,18.8%,2.5%,0.2%,73.4%,92008
663,2.6%,7.7%,12.0%,1.9%,0.3%,75.4%,44144
664,0.5%,75.9%,0.2%,1.9%,0.8%,20.7%,44320
665,0.1%,65.5%,1.9%,1.6%,0.3%,30.7%,28501
666,9.0%,3.8%,7.7%,6.0%,1.4%,72.2%,85045
667,0.0%,5.8%,13.2%,0.9%,3.5%,76.6%,70374
