,Asian,Black,Hispanic,Mixed,Other,White,postal_code
90,0.5%,0.5%,1.6%,1.2%,0.2%,96.1%,53508
91,1.2%,6.3%,1.1%,2.6%,0.8%,87.9%,15202
92,3.3%,70.7%,2.1%,2.5%,1.1%,20.3%,44115
93,4.8%,9.6%,23.9%,2.9%,0.8%,58.0%,85340
94,0.0%,0.0%,0.0%,7.6%,0.0%,92.4%,15688
95,0.2%,62.7%,1.1%,1.0%,0.3%,34.7%,39307
96,0.0%,0.2%,0.2%,0.8%,1.0%,97.8%,12923
97,4.7%,1.8%,1.5%,0.7%,0.1%,91.1%,44149
98,0.9%,3.2%,1.4%,3.0%,0.3%,91.2%,53575
99,0.5%,17.9%,0.4%,1.6%,0.0%,79.5%,15137
100,0.0%,0.2%,0.0%,2.2%,0.0%,97.6%,44046
101,5.4%,25.0%,1.9%,1.3%,0.3%,66.1%,44143
102,0.0%,20.1%,0.0%,0.1%,0.0%,79.8%,72041
103,1.5%,1.6%,0.3%,2.9%,0.0%,93.8%,15024
104,1.4%,3.2%,14.7%,1.8%,0.8%,78.1%,85213
105,0.6%,1.4%,2.9%,2.3%,0.2%,92.5%,53589
106,2.8%,5.2%,26.2%,2.1%,1.8%,61.9%,85029
107,1.7%,13.5%,16.1%,0.8%,0.8%,67.1%,28110
108,1.3%,7.2%,42.5%,1.5%,3.2%,44.2%,85326
109,6.6%,16.1%,38.8%,2.1%,6.4%,30.0%,85339
110,8.9%,21.2%,29.9%,4.3%,1.5%,34.3%,89081
111,7.0%,4.2%,16.6%,2.9%,1.5%,67.8%,85027
112,3.6%,2.1%,6.3%,2.8%,0.5%,84.5%,85054
113,0.6%,0.4%,1.0%,1.2%,0.2%,96.6%,44131
114,4.9%,8.2%,58.8%,1.7%,0.7%,25.6%,89110
115,1.8%,1.7%,3.9%,1.2%,0.6%,90.8%,85268
116,1.3%,0.7%,1.5%,0.7%,0.0%,95.7%,53515
117,0.0%,7.6%,6.3%,0.0%,7.6%,78.5%,89039
118,10.2%,8.0%,12.6%,2.5%,0.2%,66.6%,60031
119,4.5%,29.0%,20.3%,2.7%,0.5%,42.9%,19401
120,0.7%,13.2%,4.4%,3.8%,0.3%,77.6%,44035
121,2.9%,1.8%,5.0%,3.1%,0.4%,86.7%,85266
122,2.3%,10.4%,37.5%,1.0%,2.3%,46.6%,85003
123,3.0%,3.9%,20.8%,1.8%,1.0%,69.5%,85388
124,4.4%,8.4%,8.8%,2.4%,0.5%,75.5%,53711
125,2.9%,0.9%,1.2%,0.8%,0.5%,93.6%,15057
126,0.2%,0.0%,1.1%,0.6%,0.0%,98.0%,44255
127,2.5%,5.5%,37.6%,1.3%,2.0%,51.1%,85122
128,0.0%,0.0%,35.5%,0.0%,0.0%,64.5%,85343
129,2.8%,65.7%,1.6%,1.5%,0.2%,28.1%,15208
130,1.8%,11.2%,3.5%,1.1%,0.8%,81.5%,28120
131,1.0%,0.0%,2.8%,0.0%,2.5%,93.7%,85324
132,2.1%,0.0%,9.1%,0.0%,7.4%,81.4%,92328
133,0.0%,4.6%,11.9%,0.5%,1.3%,81.7%,28098
